CAS,Chemical name,Latin name,Trophic Level,Effect,Effect value,Unit,Test type,Test statistic,Duration,Duration (days),Effect is 5X above water solubility,Source,version,SMILES
50000,Formaldehyde;Formaldehyde,Morone saxatilis,FISH,Mortality,59.0,mg/L,A,LC50,96 hours,4,0,"Bills,T.D., L.L. Marking, and G.E. Howe, . Sensitivity of Juvenile Striped Bass to Chemicals Used in Aquaculture",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50000/property/IsomericSMILES/JSON
50066,"Phenobarbital;5-Ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",Pimephales promelas,FISH,Mortality,485.0,mg/L,A,LC50,96 hours,4,0,"Russom, C.L., Bradbury, S.P., Broderius, S.J., Drummond, R.A. and Hammermeister, D.E., 1997. PREDICTING MODES OF TOXIC ACTION FROM CHEMICAL STRUCTURE: ACUTE TOXICITY IN THE FATHEAD MINNOW (PIMEPHALES PROMELAS)",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50066/property/IsomericSMILES/JSON
50215,Lactic acid;2-Hydroxypropanoic acid,Oreochromis mossambicus,FISH,Mortality,258.0,mg/L,A,LC50,96 hours,4,0,"Saha, N. C., Bhunia, F., & Kaviraj, A. (2006). Comparative toxicity of three organic acids to freshwater organisms and their impact on aquatic ecosystems. Human and Ecological Risk Assessment, 12(1), 192-202.",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50215/property/IsomericSMILES/JSON
50293,"p,p'-DDT;1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-chlorobenzene)",Perca sp,FISH,Mortality,0.015,mg/L,A,LC50,96 hours,4,0,"Bathe,R., K. Sachsse, L. Ullmann, W.D. Hormann, F. Zak, and R. Hess. The Evaluation of Fish Toxicity in the Laboratory",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50293/property/IsomericSMILES/JSON
50306,"2,6-Dichlorobenzoic acid;2,6-Dichlorobenzoic acid",Lepomis macrochirus,FISH,Mortality,120.0,mg/L,A,LC50,96 hours,4,0,"Mayer,F.L.,Jr., and M.R. Ellersieck. Manual of Acute Toxicity:  Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50306/property/IsomericSMILES/JSON
50317,"2,3,6-Trichlorobenzoic acid;2,3,6-Trichlorobenzoic acid",Pimephales promelas,FISH,Mortality,8.5,mg/L,A,LC50,96 hours,4,0,"Mayer,F.L.,Jr., and M.R. Ellersieck. Manual of Acute Toxicity:  Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50317/property/IsomericSMILES/JSON
50328,Benzo(a)pyrene;Benzo[pqr]tetraphene,Daphnia pulex,INVERT,Mortality,0.005,mg/L,A,LC50,96 hours,4,0,"Trucco, R.G., F.R. Engelhardt, and B. Stacey, 1983. Toxicity, Accumulation and Clearance of Aromatic Hydrocarbons in Daphnia pulex, Environ.Pollut.Ser.A 31(3):191-202",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50328/property/IsomericSMILES/JSON
51036,"Piperonyl butoxide;5-{[2-(2-Butoxyethoxy)ethoxy]methyl}-6-propyl-2H-1,3-benzodioxole",Oncorhynchus mykiss,FISH,Mortality,11.2,mg/L,A,LC50,96 hours,4,0,"Erickson,D.A., M.S. Goodrich, and J.J. Lech, . The Effect of Piperonyl Butoxide on Hepatic Cytochrome P-450-Dependent Monooxygenase Activities in Rainbow Trout (Salmo gairdneri)",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/51036/property/IsomericSMILES/JSON
51285,"2,4-Dinitrophenol;2,4-Dinitrophenol",Pimephales promelas,FISH,Mortality,11.1,mg/L,A,LC50,96 hours,4,0,"Broderius,S.J., M.D. Kahl, and M.D. Hoglund. Use of Joint Toxic Response to Define the Primary Mode of Toxic Action for Diverse Industrial Organic Chemicals",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/51285/property/IsomericSMILES/JSON
52517,"Bronopol;2-Bromo-2-nitropropane-1,3-diol",Oncorhynchus mykiss,FISH,Mortality,20.0,mg/L,A,LC50,96 hours,4,0,"U.S. Environmental Protection Agency, and Office of Pesticide Programs. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/52517/property/IsomericSMILES/JSON
