SMILES_curated,CAS,logC50,n_measurements
BrC(Br)Br,75-25-2,1.3899430608992371,1
BrC(Br)c1ccccc1C(Br)Br,13209-15-9,-0.3595185630295782,1
BrC(Br)c1ccccc1OCC1CO1,30171-80-3,0.3357252771062473,1
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,25637-99-4,2.1203943964780105,1
BrC1CCCCC1,108-85-0,1.0791812460476249,1
BrC=C(Br)Br,598-16-3,1.1554322939852086,1
BrCC1CCCCO1,34723-82-5,2.311753861055754,1
BrCCBr,106-93-4,1.2744992976697709,1
BrCCCBr,109-64-8,0.4641549788266988,1
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,37853-59-1,3.0817888154180766,1
Brc1ccc(Br)c(Br)c1,615-54-3,-0.2232988160115891,1
Brc1ccc(Br)cc1,106-37-6,0.1340274892930588,1
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,5436-43-1,1.0187351618063842,1
Brc1ccc(Oc2ccccc2)cc1,101-55-3,-0.0945844709321251,1
Brc1ccccc1,108-86-1,0.7481880270062005,1
Brc1ccccc1Br,583-53-9,0.5202276649248407,1
Brc1ccsc1,872-31-1,0.791690649020118,1
Brc1nc(Br)c(Br)[nH]1,2034-22-2,0.8246413311370185,1
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,23950-58-5,1.9100216935888776,1
C#CC(C)(O)C(C)C,1482-15-1,2.311753861055754,1
C#CC(C)(O)CCC(C)C,19549-98-5,1.6901960800285136,1
C#CC(C)(O)c1ccccc1,127-66-2,2.05307844348342,1
C#CC(O)(c1ccccc1)c1ccccc1,3923-52-2,1.0453229787866574,1
C#CC(O)CCCC,7383-19-9,0.2455126678141498,1
C#CC(O)CCCCC,818-72-4,-0.384049948343599,1
C#CC1(O)CCCCC1,78-27-3,2.4082399653118496,1
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,23031-36-9,-1.7891980365650846,1
C#CCN(C)c1ccccc1OC(=O)NC,23504-07-6,0.1031569305738701,1
C#CCN(CC#C)CC#C,6921-29-5,2.4712917110589387,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,103361-09-7,0.3617278360175928,1
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,105512-06-9,-0.5172009655140775,1
C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,42588-37-4,2.3410138418111153,1
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2312-35-8,-0.4883408710099926,1
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,374726-62-2,0.6483325951307656,1
C#CCn1cc(O)n(COC(=O)C2C(C=C(C)C)C2(C)C)c1=O,72963-72-5,-1.2875591816844665,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,57-63-6,-5.0,1
C(=Cc1ccccc1)c1ccccc1,588-59-0,1.1810325674216364,1
C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,11141-17-6,1.1889823267070838,1
C/C=C/C(=O)Oc1ccccc1[N+](=O)[O-],39300-45-3,-1.27461152460399,1
C/C=C/C1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C,240494-70-6,-2.752089123307047,1
C/C=C/C=C/CCCCCCCO,33956-49-9,1.8573324964312683,1
C/C=C/CCCCC,13389-42-9,1.224642134299103,1
C/C=C/c1ccc(OC)cc1,4180-23-8,0.885926339801431,1
C1=CC2C3C=CC(C3)C2C1,77-73-6,1.5222090960732024,1
C1=CCC2CC=CC2C1,3048-65-5,0.6434526764861874,1
C1=CCCC=CCCC=CCC1,4904-61-4,0.6020599913279624,1
C1=C\CC/C=C\CC/1,111-78-4,1.146128035678238,1
C1C2CC3CC1CC(C2)C3,281-23-2,-0.5451551399914898,1
C1CC2OC2CC1C1CO1,106-87-6,1.1760912590556811,1
C1CCC(NC2CCCCC2)CC1,101-83-7,1.0791812460476249,1
C1CN2CCN1CC2,280-57-9,3.2380461031287955,1
C1N2CN3CN1CN(C2)C3,100-97-0,4.556202230856256,1
C=C(Br)CCO,76334-36-6,1.6334684555795866,1
C=C(C)C(=O)OC,80-62-6,2.481642653169456,1
C=C(C)C(=O)OC(C)C,4655-34-9,1.57978359661681,1
C=C(C)C(=O)OCC(CC)CCCC,688-84-6,0.4471580313422192,1
C=C(C)C(=O)OCC(F)(F)F,352-87-4,0.919078092376074,1
C=C(C)C(=O)OCC1CCCO1,2455-24-5,1.5403294747908738,1
C=C(C)C(=O)OCC1CO1,106-91-2,0.4471580313422192,1
C=C(C)C(=O)OCCCC,97-88-1,0.7481880270062005,1
