SMILES_curated,CAS,logC50,n_measurements
BrC(Br)Br,75-25-2,1.462397997898956,1
BrC(Br)c1ccccc1OCC1CO1,30171-80-3,0.1139433523068367,1
BrC1CCCCC1,108-85-0,1.0791812460476249,1
BrC=C(Br)Br,598-16-3,1.0934216851622351,1
BrCCBr,106-93-4,1.506505032404872,1
BrCCCBr,109-64-8,0.3873898263387294,1
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,37853-59-1,3.1492191126553797,1
Brc1ccc(Br)c(Br)c1,615-54-3,-0.2232988160115891,1
Brc1ccc(Br)cc1,106-37-6,0.4771212547196624,1
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,5436-43-1,0.7299742856995556,1
Brc1ccc(Oc2ccccc2)cc1,101-55-3,0.7708520116421442,1
Brc1ccccc1Br,583-53-9,0.3404441148401183,1
Brc1nc(Br)c(Br)[nH]1,2034-22-2,0.9009130677376692,1
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,23950-58-5,1.0253058652647702,1
C#CC(C)(C)O,115-19-5,3.5171958979499744,1
C#CC(C)(O)C(C)C,1482-15-1,2.311753861055754,1
C#CC(C)(O)CC,77-75-8,3.0644579892269186,1
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,23031-36-9,-1.9208187539523751,1
C#CCCO,927-74-2,1.557507201905658,1
C#CCN(C)c1ccccc1OC(=O)NC,23504-07-6,-0.7958800173440752,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,103361-09-7,0.3617278360175928,1
C#CCO,107-19-7,0.1583624920952496,1
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,105512-06-9,-0.619788758288394,1
C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,42588-37-4,2.1367205671564067,1
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2312-35-8,-1.5086383061657274,1
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,374726-62-2,0.6434526764861874,1
C#CCn1cc(O)n(COC(=O)C2C(C=C(C)C)C2(C)C)c1=O,72963-72-5,-1.42021640338319,1
C#N,57-12-5,-0.9136985343950701,6
C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,11141-17-6,0.6020599913279624,1
C/C=C/C(=O)Oc1ccccc1[N+](=O)[O-],39300-45-3,-1.8239087409443189,1
C/C=C/C1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C,240494-70-6,-2.9208187539523753,1
C/C=C/C=O,4170-30-3,0.5440680443502757,1
C/C=C/CCCCC,13389-42-9,1.4471580313422192,1
C/C=C/c1ccc(OC)cc1,4180-23-8,0.885926339801431,1
C1=CC2C3C=CC(C3)C2C1,77-73-6,1.4927603890268375,1
C1=CCC2CC=CC2C1,3048-65-5,0.6434526764861874,1
C1=CCCCC1,110-83-8,0.8512583487190752,1
C1CC2OC2CC1C1CO1,106-87-6,1.1760912590556811,1
C1CCC(NC2CCCCC2)CC1,101-83-7,1.0791812460476249,1
C1CCCCC1,110-82-7,2.0681858617461617,1
C1CCOC1,109-99-9,3.3344537511509307,1
C1COCCN1,110-91-8,2.255272505103306,1
C1COCCO1,123-91-1,3.8260748027008264,1
C1N2CN3CN1CN(C2)C3,100-97-0,4.697229342759718,1
C1OCOCO1,110-88-3,3.7745169657285498,1
C=C(Br)CCO,76334-36-6,1.6334684555795866,1
C=C(C)C(=O)O,5536-61-8,1.8195439355418688,1
C=C(C)C(=O)OC,80-62-6,2.2810333672477277,1
C=C(C)C(=O)OC(C)C,4655-34-9,1.57978359661681,1
C=C(C)C(=O)OCC(CC)CCCC,688-84-6,0.4471580313422192,1
C=C(C)C(=O)OCC(F)(F)F,352-87-4,0.919078092376074,1
C=C(C)C(=O)OCC1CCCO1,2455-24-5,1.5403294747908738,1
C=C(C)C(=O)OCC1CO1,106-91-2,0.4471580313422192,1
C=C(C)C(=O)OCCCC,97-88-1,0.7481880270062005,1
C=C(C)C(=O)OCCN(C)C,2867-47-2,1.2787536009528289,1
C=C(C)C(=O)OCCO,868-77-9,2.3560258571931225,1
C=C(C)C(=O)OCCOCC,2370-63-0,1.4424797690644486,1
C=C(C)C(=O)OCc1ccccc1,2495-37-6,0.6693168805661122,1
C=C(C)C1CC=C(C)CC1,138-86-3,1.5854607295085006,1
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],55283-68-6,-1.494850021680094,1
C=C(C)[C@H]1CC=C(C)CC1,5989-27-5,-0.1426675035687315,1
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4C2C3=O)O1,83-79-4,-2.3458234581220396,1
C=C(C)c1ccc(O)cc1,4286-23-1,0.9637878273455552,1
C=C(C)c1ccccc1,98-83-9,0.8633228601204559,1
C=C(Cl)CSC(=S)N(CC)CC,95-06-7,0.0606978403536116,1
C=C(Cl)Cl,75-35-4,2.342422680822206,1
C=C/C=C\CC1=C(C)[C@@H](OC(=O)C2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,8003-34-7,-1.1307682802690238,1
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,8001-35-2,-0.8927900303521317,1
C=C1C2CCC(C2)C1(C)C,79-92-5,0.0681858617461616,1
C=C1CC(=O)O1,674-82-8,0.9444826721501688,1
C=C1CC[C@H]2C[C@@H]1C2(C)C,18172-67-3,-0.2992962828549806,1
C=CC#N,107-13-1,1.3729120029701067,1
C=CC(=C)C,78-79-5,1.1760912590556811,1
C=CC(=C)CCC=C(C)C,123-35-3,-0.0362121726544447,1
C=CC(=O)O,79-10-7,2.4983105537896004,1
C=CC(=O)OC,96-33-3,0.320146286111054,1
C=CC(=O)OC(C)(C)C,1663-39-4,0.320146286111054,1
C=CC(=O)OC1CCCCC1,3066-71-5,0.1702617153949573,1
C=CC(=O)OCC,140-88-5,0.3242824552976926,1
C=CC(=O)OCC(C)C,106-63-8,0.3242824552976926,1
C=CC(=O)OCC(C)O,999-61-1,0.4913616938342727,1
C=CC(=O)OCC(CC)CCCC,103-11-7,0.320146286111054,1
C=CC(=O)OCCCC,141-32-2,0.320146286111054,1
C=CC(=O)OCCCCCC,2499-95-8,0.0374264979406236,1
C=CC(=O)OCCCCCCOC(=O)C=C,13048-33-4,-0.4202164033831898,1
C=CC(=O)OCCN(C)C,2439-35-2,0.9294189257142929,1
C=CC(=O)OCCO,818-61-1,0.6812412373755872,1
C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,7212-44-4,0.255272505103306,1
