"CAS_str","Chemical_name","log_LC50","n_measurements","SMILES","mlecule_H_final","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
"50-06-6","Phenobarbital",2.6852935501233377,2,"CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2","[H]c1c([H])c([H])c(C2(C([H])([H])C([H])([H])[H])C(=O)N([H])C(=O)N([H])C2=O)c([H])c1[H]",0.7003999999999997,60.09240000000002,115.1752745861852,75.27000000000001,232.2390000000001,232.084792244,5,2,3,2,3,4,5,17,29,0,0,2,1,1,1,0,1,1,1,0,0,0.25,8.119172062391506,4.25679962669571,2.9914861124020007,2.098473999182911,1.2787163604711616,10.151226817695626,2.9914861124020007,2.098473999182911,1.2787163604711616,-2.1699999999999995,3.662343695469477,4.008920169778623,1.5954555917347284,10.619626706576751,17.845473971041084,15.004064837540422,0,32.49585407202425,30.212093538316473,2.8236841566564013,0,0,4.794537184071822,0,0,30.91488127057406,0,10.619626706576751,0,18.639807488021837,0,35.77554503001347,0,0,17.845473971041084,0,20.208701074720395,4.794537184071822,0,0,37.06398565561216,11.936376393026375,6.853792780851101,6.853792780851101,0,8.23867462605318,11.814359458703011,0,6.031114512338072,12,0,0,0,0,0,0,0,2,3,0,17,15,3,0,9,3,0,3,8,5,0,0,0,0,3,0,0,2,0,11,1,0,0,0,2,0,0,0,0,0,0
"50-18-0","Cyclophosphamide",3.3404441148401185,1,"C1CNP(=O)(OC1)N(CCCl)CCCl","[H]N1C([H])([H])C([H])([H])C([H])([H])OP1(=O)N(C([H])([H])C([H])([H])Cl)C([H])([H])C([H])([H])Cl",1.884,59.19120000000003,115.57414914225375,41.57,261.089,260.0248197100001,4,1,5,1,2,0,7,14,29,1,1,1,0,1,1,0,1,1,0,0,0,1,8.820351396482879,5.304283072519883,3.886814508545574,2.553304582353536,1.7261006818816935,10.465270978661165,1.74512194825914,0.996925617198157,0.5336224146574722,0.69,3.123261134110519,6.311144001092418,3.36838444118429,5.080319812359198,42.38419393253284,9.088795446643147,0,25.563544687712454,0,1.4118420783282006,0,0,0,0,30.872159519339995,29.691257311354423,0,9.750736002280497,0,6.372924901329379,37.71377774261154,0,0,0,30.872159519339995,4.5237471617118175,4.565048284931329,9.750736002280497,0,23.20187978046503,0,6.372924901329379,47.603895173737925,9.300502355256729,1.4118420783282006,0,0,0,7.670279738874966,7,0,2,0,0,0,1,1,1,1,1,14,22,1,0,6,0,0,5,6,4,0,0,0,0,3,0,1,4,1,1,4,0,0,0,1,0,0,0,0,0,0
"50-28-2","17beta-Estradiol",0.3306726764530241,5,"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O","[H]Oc1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]",3.6092000000000026,78.73060000000004,154.2743150563425,40.46,272.3879999999997,272.17763000800045,2,2,3,2,2,0,2,20,44,5,0,4,1,2,3,0,0,0,1,2,3,0.6666666666666666,9.816496580927726,5.658248290463863,4.408248290463863,3.2436862178478973,2.2411086270779395,17.47474487139159,4.408248290463863,3.2436862178478973,2.2411086270779395,-1.02,2.902268906370586,4.2366779154371,1.604791759224291,0,19.160033723629684,6.372924901329379,17.202905840122938,85.89406552844444,18.127256122989884,0,0,0,0,5.749511833283905,0,40.37430461795928,2.8623993144652684,0,17.202905840122938,57.063417237585014,0,29.254159106383874,0,5.749511833283905,0,10.217616382214425,0,0,0,0,12.894310824958975,84.54615333218285,24.673654011063956,11.563052251630868,5.749511833283905,0,1.4311996572326342,1.4311996572326342,0,18,0,0,0,0,0,0,0,0,2,0,20,27,0,0,17,3,0,3,4,2,0,0,0,0,0,2,0,1,0,6,11,0,0,1,3,0,0,0,0,6,3
"50-29-3","p,p'-DDT",-1.737289056630612,448,"C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl","[H]c1c([H])c(C([H])(c2c([H])c([H])c(Cl)c([H])c2[H])C(Cl)(Cl)Cl)c([H])c([H])c1Cl",6.495500000000001,85.03700000000002,149.37944719027283,0,354.4909999999998,351.91468868800024,0,0,2,0,0,0,5,19,28,0,0,2,2,0,0,0,0,0,2,0,0,0.14285714285714285,12.669467095138412,6.584733547569205,6.287884911869874,2.9173667737846025,2.008893419027682,9.194911182523068,3.2507235420518623,1.9724555912615336,1.2529644730092273,-0.10999999999999954,7.243651626866496,6.1146915736885745,3.9329189571627996,0,3.792535935529771,0,0,29.357687674289046,48.33934966130636,10.045266627482652,0,0,0,0,58.00469945116258,12.33682700553198,0,0,0,9.68649362089285,0,69.511519272183,0,0,58.00469945116258,0,0,0,0,0,82.17437428181576,35.29657781404717,11.416025183652872,16.860026134724837,0,0,3.792535935529771,0,0,14,0,5,0,0,0,0,0,0,0,0,19,17,0,0,6,6,0,2,0,0,0,0,0,0,5,0,0,2,0,12,0,0,0,0,2,0,0,0,0,0,0
"50-30-6","2,6-Dichlorobenzoic acid",2.112654640862931,6,"C1=CC(=C(C(=C1)Cl)C(=O)O)Cl","[H]OC(=O)c1c(Cl)c([H])c([H])c([H])c1Cl",2.6916,43.4213,79.06518579869518,37.3,191.01300000000003,189.958834728,2,1,1,1,2,0,4,11,15,0,0,1,1,0,0,0,0,0,1,0,0,0,6.584283418983089,3.2921417094915446,2.4213508975929465,1.554544209502693,1.0277047380303097,4.444461053936953,1.665421951574492,0.9875974999888518,0.5415620087064613,-0.73,4.3339307302503665,3.1134565337919367,1.6427212711091828,0,11.078113479059063,0,0,14.470264344279476,18.127256122989884,10.045266627482652,1.4311996572326342,0,0,0,23.20187978046503,14.015621043689693,1.4311996572326342,0,0,0,0,33.73597424216953,0,0,29.171185068416882,5.1088081911072125,0,4.794537184071822,0,0,29.24429848812833,12.08483741532659,0,19.720993787690308,0,0,0,1.4311996572326342,5.969305287951849,7,0,2,0,0,0,0,0,0,2,0,11,8,1,0,3,3,0,1,4,2,0,0,0,0,3,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0
"50-31-7","2,3,6-Trichlorobenzoic acid",1.305902374211992,4,"C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl","[H]OC(=O)c1c(Cl)c([H])c([H])c(Cl)c1Cl",3.3449999999999998,48.4313,87.96348152540904,37.3,225.45800000000003,223.919862376,2,1,1,1,2,0,5,12,15,0,0,1,1,0,0,0,0,0,1,0,0,0,7.718176838010771,3.8590884190053854,2.9882976071067877,2.159446135688185,1.2403097540980002,4.1334432904415666,1.8544041880791056,1.1178029039554445,0.6124303473956914,-0.44,6.080830817534114,3.5193222712315353,1.6571400021196387,0,11.078113479059063,0,0,13.099505788109257,12.08483741532659,15.067899941223978,1.4311996572326342,0,0,0,34.802819670697545,12.644862487519474,1.4311996572326342,0,0,0,0,32.71618884824756,0,0,40.7721249586494,5.1088081911072125,0,4.794537184071822,0,0,34.802819670697545,12.08483741532659,0,23.372868545261415,0,0,0,1.4311996572326342,5.969305287951849,7,0,3,0,0,0,0,0,0,2,0,12,8,1,0,3,3,0,1,4,2,0,0,0,0,4,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0
"50-32-8","Benzo(a)pyrene",0.11058971029924897,1,"C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3","[H]c1c([H])c([H])c2c(c1[H])c([H])c1c([H])c([H])c3c([H])c([H])c([H])c4c([H])c([H])c2c1c34",5.737200000000003,87.65200000000003,132.99673212858707,0,252.31600000000006,252.093900384,0,0,0,0,0,0,0,20,32,0,0,5,5,0,0,0,0,0,5,0,0,0,10,6,4.5,3.4375,2.59375,12,4.5,3.4375,2.59375,-2.5999999999999988,4.195116354118112,3.486521567643158,1.1630091486510117,0,0,0,0,16.44910267404264,72.50902449195954,0,43.089793715718365,0,0,0,0,16.44910267404264,0,0,0,0,0,72.50902449195954,0,0,43.089793715718365,0,0,0,0,0,66.46660578429623,49.13221242338166,0,16.44910267404264,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,8,6
"50-53-3","Chlorpromazine",0.8928663082490029,2,"CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl","[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c(Cl)c([H])c1N2C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]",4.894400000000004,92.19400000000005,161.94785983985685,6.48,318.87299999999965,318.0957472880005,2,0,6,0,3,0,4,21,40,0,0,3,2,0,1,0,0,1,2,0,0,0.29411764705882354,11.753065481419187,6.633332367405305,5.064518585253202,3.5383100947759982,2.6052942114056012,14.93887131346835,3.6659333860843164,2.350257091508604,1.5823116659684924,-1.1599999999999997,4.222133856976077,6.304372410382191,3.203270439286252,4.899909730850478,31.84528290004686,0,0,32.41733746856355,52.08789790467861,5.022633313741326,0,0,11.374772549367124,0,23.36282483962363,26.044412567234176,0,4.899909730850478,0,16.16389185236493,31.845282900046858,47.319564267384386,0,0,34.73759738899076,9.799819461700956,0,0,0,0,35.447662254950224,57.03353192452629,37.75956262313547,20.970082442558663,0,0,0,0,0,17,0,1,0,0,1,0,1,1,0,0,21,26,0,0,10,6,0,6,2,2,0,0,0,0,1,0,1,5,1,13,0,0,0,0,3,0,0,0,0,4,2
"50-65-7","Niclosamide",-0.9902428909261092,8,"C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O","[H]Oc1c([H])c([H])c(Cl)c([H])c1C(=O)N([H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1Cl",3.859500000000001,79.17640000000002,140.0030565437766,92.47000000000001,327.1229999999998,325.98611209600017,6,2,4,2,4,1,8,21,29,0,0,2,2,0,0,0,0,0,2,0,0,0,11.295207190910732,5.828110474411593,4.209296908128093,2.555208056494305,1.5366728468353696,8.927643414356961,3.453367962109638,2.092728158012226,1.215929625731751,-2.3099999999999996,7.628147036509694,5.986588537145612,3.4188545451590753,5.309813353288376,17.370498626509026,0,10.114318268765572,18.582540012790137,36.25451224597977,11.457108705810853,0,0,11.374772549367124,5.749511833283905,23.20187978046503,24.463049839346223,1.4311996572326342,0,0,0,5.309813353288376,61.97754863392498,0,5.749511833283905,40.48383205918366,10.418621544395588,14.908855452837393,0,0,0,23.20187978046503,24.16967483065318,17.107470729067916,29.42133346596087,5.749511833283905,1.4118420783282006,0,13.025765661267702,0,13,0,2,0,0,0,0,2,0,4,0,21,16,2,0,6,6,0,4,11,6,0,0,1,1,5,1,3,0,0,12,0,0,0,0,2,0,0,0,0,0,0
"50-71-5","Alloxan",-0.22184874961635637,3,"C1(=O)C(=O)NC(=O)NC1=O","[H]N1C(=O)C(=O)C(=O)N([H])C1=O",-2.0785000000000005,26.6884,57.50011324969359,92.34,142.07000000000002,142.001456544,6,2,0,2,4,4,6,10,12,0,0,1,0,1,1,0,1,1,0,0,0,0,4.527420352855368,2.210923771927642,1.4456102576339322,0.7828634824518613,0.3917583008185025,3.1053509629275577,1.4456102576339322,0.7828634824518613,0.3917583008185025,-1.72,4.152473466668685,1.903942959606998,0.8585608360991452,10.619626706576751,23.628718917406022,14.383611552215466,0,0,0,2.8236841566564013,0,0,4.794537184071822,0,0,22.001832892943685,0,10.619626706576751,0,0,0,0,0,0,23.628718917406022,0,25.003238258792216,4.794537184071822,0,0,0,0,0,0,0,2.8236841566564013,0,0,23.628718917406022,4,0,0,0,0,0,0,0,2,4,0,10,2,4,0,6,0,0,0,10,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
