Feature,Importance
FP_807,147
FP_650,118
FP_1873,79
FP_1057,66
FP_875,63
FP_116,60
FP_1917,59
FP_1750,58
FP_1380,58
FP_695,50
FP_1683,43
FP_1444,40
FP_294,39
FP_1088,38
FP_80,37
FP_694,33
FP_1019,32
FP_728,31
FP_314,31
FP_1,31
FP_310,30
FP_1114,29
FP_222,28
FP_794,28
FP_1143,28
FP_389,27
FP_216,27
FP_1171,27
FP_227,27
FP_147,26
FP_1480,26
FP_547,24
FP_1104,23
FP_1554,22
FP_378,22
FP_322,22
FP_1536,21
FP_352,21
FP_1073,21
FP_1199,20
FP_110,20
FP_456,20
FP_1238,20
FP_1274,20
FP_114,20
FP_441,19
FP_13,19
FP_1309,19
FP_305,18
FP_1386,18
FP_675,18
FP_192,18
FP_1729,17
FP_1017,17
FP_350,17
FP_1060,17
FP_926,16
FP_953,16
FP_113,16
FP_1184,16
FP_1417,15
FP_1696,15
FP_1011,15
FP_354,15
FP_1388,15
FP_1680,15
FP_736,15
FP_1722,15
FP_561,14
FP_592,14
FP_1163,14
FP_193,14
FP_1476,14
FP_1582,14
FP_1456,14
FP_1609,14
FP_1764,13
FP_833,13
FP_803,13
FP_591,13
FP_1703,13
FP_1257,12
FP_1292,12
FP_974,12
FP_414,12
FP_1440,12
FP_1043,11
FP_1152,11
FP_1365,11
FP_431,11
FP_24,11
FP_725,11
FP_1984,11
FP_486,11
FP_1260,11
FP_841,11
FP_2004,10
FP_1977,10
FP_1223,10
FP_1970,10
FP_1162,10
FP_249,10
FP_1475,10
FP_932,10
FP_237,10
FP_935,10
FP_1366,10
FP_888,9
FP_608,9
FP_978,9
FP_1024,9
FP_690,9
FP_656,9
FP_1357,9
FP_549,9
FP_52,9
FP_1832,9
FP_1339,9
FP_1348,9
FP_333,9
FP_140,9
FP_1754,9
FP_1745,8
FP_353,8
FP_718,8
FP_203,8
FP_1362,8
FP_1733,8
FP_1816,8
FP_1908,8
FP_463,8
FP_896,8
FP_601,8
FP_9,8
FP_1457,8
FP_1602,7
FP_252,7
FP_715,7
FP_862,7
FP_1415,7
FP_1349,6
FP_1236,6
FP_1992,6
FP_1252,6
FP_816,6
FP_1255,6
FP_1920,6
FP_1911,6
FP_802,6
FP_1855,6
FP_1096,6
FP_119,6
FP_745,6
FP_667,6
FP_1697,6
FP_1370,6
FP_691,6
FP_1356,5
FP_1087,5
FP_1734,5
FP_1109,5
FP_1853,5
FP_1110,5
FP_1070,5
FP_1066,5
FP_1034,5
FP_1224,5
FP_1416,5
FP_1039,5
FP_31,5
FP_366,5
FP_598,5
FP_585,5
FP_349,5
FP_626,5
FP_1617,4
FP_664,4
FP_1866,4
FP_1716,4
FP_145,4
FP_753,4
FP_1452,4
FP_118,4
FP_1004,4
FP_283,4
FP_202,4
FP_1665,4
FP_1187,4
FP_151,4
FP_628,4
FP_473,4
FP_97,4
FP_1573,4
FP_1738,4
FP_1145,4
FP_885,4
FP_205,4
FP_1597,4
FP_1203,3
FP_534,3
FP_1905,3
FP_1243,3
FP_319,3
FP_1195,3
FP_251,3
FP_126,3
FP_881,3
FP_1384,3
FP_392,3
FP_984,3
FP_769,3
FP_961,3
FP_931,3
FP_1369,3
FP_1978,2
FP_1328,2
FP_1581,2
FP_910,2
FP_1747,2
FP_647,2
FP_597,2
FP_1249,2
FP_716,2
FP_674,2
FP_1063,2
FP_1447,2
FP_381,2
FP_1631,2
