Feature,Importance
FP_534,0.08970376
FP_827,0.052075308
MQN3,0.04845762
FP_1476,0.03046698
FP_1764,0.01691272
FP_1384,0.0151733635
MQN11,0.014071649
FP_991,0.0113374125
FP_1356,0.009854862
FP_1729,0.009771862
MQN7,0.009582076
FP_91,0.008501537
slogp_VSA12,0.008275795
FP_753,0.008124653
FP_549,0.008063237
FP_2036,0.008007012
MQN6,0.008005715
FP_1223,0.00781245
FP_504,0.007560682
MQN14,0.0074400837
SlogP,0.007219168
FP_345,0.00702072
FP_675,0.0064946953
FP_1602,0.006470136
FP_1287,0.0064080055
FP_1348,0.0060462384
slogp_VSA4,0.005932003
FP_1873,0.0058433954
FP_1249,0.005819937
FP_910,0.005746228
peoe_VSA14,0.0055526923
FP_1035,0.005479978
FP_650,0.00544074
FP_1195,0.00509374
FP_389,0.0050435155
FP_694,0.004924499
peoe_VSA3,0.004598529
FP_1213,0.0045177657
NumRings,0.004507982
MQN24,0.0044295224
FP_1816,0.004406453
FP_1171,0.004295462
FP_319,0.004242074
MQN25,0.004112108
FP_350,0.0040545403
FP_1145,0.0039524394
FP_1226,0.0039137066
FP_80,0.0038879162
MQN41,0.0038818663
FP_1073,0.003809444
FP_448,0.003786768
FP_2004,0.0037287269
FP_1386,0.0037239704
slogp_VSA1,0.0036683772
FP_1703,0.0036584157
smr_VSA10,0.0036290959
FP_116,0.0036206117
FP_145,0.003590037
FP_586,0.0035575284
FractionCSP3,0.0035460207
smr_VSA1,0.003524353
FP_147,0.0035184603
NumLipinskiHBD,0.0035025093
MQN28,0.0034850636
FP_1908,0.0034775482
FP_486,0.0034129315
FP_1716,0.0033865657
FP_914,0.0033421414
FP_803,0.003326507
FP_314,0.0033090499
FP_807,0.00330765
FP_378,0.0032697602
FP_1737,0.0032649762
FP_271,0.0031992437
MQN13,0.0031983664
MQN8,0.0031421313
peoe_VSA11,0.0031189206
FP_1876,0.0030892272
smr_VSA5,0.0030856752
peoe_VSA4,0.0030838016
FP_1357,0.003030951
FP_1110,0.0030271597
FP_1440,0.0029954305
FP_1430,0.002958547
FP_1758,0.0029571382
FP_849,0.0029179554
MQN10,0.0028996593
FP_235,0.002824191
FP_1203,0.002783645
peoe_VSA1,0.0027709217
FP_1917,0.0027512705
FP_1629,0.0027420905
slogp_VSA3,0.0027066518
HallKierAlpha,0.0027009218
slogp_VSA8,0.002648027
peoe_VSA6,0.0026167647
FP_192,0.0025986405
peoe_VSA5,0.002580467
FP_1853,0.0025764687
smr_VSA6,0.002560042
smr_VSA3,0.002550376
FP_931,0.002520598
NumHeteroAtoms,0.002512392
FP_310,0.0025033918
FP_1104,0.0025000707
kappa1,0.0024959848
FP_110,0.0024881589
FP_935,0.0024587223
FP_1645,0.0024505418
FP_456,0.002435901
MQN16,0.0023950955
NumAliphaticHeterocycles,0.0023857658
peoe_VSA12,0.002317929
FP_715,0.0023174519
slogp_VSA2,0.0022909564
FP_1380,0.0022835422
FP_1564,0.002279196
MQN32,0.0022721603
NumAromaticRings,0.00226098
FP_1581,0.0022596738
FP_1544,0.0022517827
FP_699,0.0022114478
MQN26,0.0021903145
FP_1224,0.0021855962
smr_VSA7,0.0021630016
Chi3v,0.00216044
FP_473,0.0021335497
FP_1182,0.002119328
FP_1809,0.0021028705
FP_283,0.0020857481
FP_718,0.002062836
MQN9,0.0020582622
SMR,0.0020432216
peoe_VSA7,0.0020106223
MQN36,0.0019794926
FP_1444,0.0019676415
MQN27,0.0019579113
FP_1928,0.0019561264
FP_1365,0.0019490869
MQN1,0.0019397639
peoe_VSA2,0.0019199515
MQN2,0.0019198408
smr_VSA4,0.0019090518
FP_1013,0.0018955964
kappa3,0.001890481
FP_1283,0.0018752057
peoe_VSA13,0.0018744696
FP_1152,0.0018730094
FP_974,0.0018616944
FP_853,0.0018573528
FP_13,0.0018546996
FP_1255,0.0018355016
FP_591,0.0018222596
FP_739,0.0017913915
peoe_VSA10,0.0017819153
NumAromaticHeterocycles,0.0017721308
FP_667,0.0017715653
FP_816,0.0017521315
NumHBA,0.0017494657
FP_114,0.0017307902
slogp_VSA10,0.0017125105
FP_1598,0.0017080054
FP_1017,0.0017060962
FP_1482,0.0016917399
FP_725,0.0016819793
MQN30,0.0016791319
FP_1517,0.0016655468
FP_383,0.0016530696
slogp_VSA11,0.0016488136
NumSaturatedRings,0.001639931
FP_1238,0.0016399216
peoe_VSA8,0.0016343561
peoe_VSA9,0.0016147926
FP_1693,0.0016087999
FP_1388,0.0015965953
FP_1956,0.0015848301
FP_419,0.0015838013
NumAliphaticRings,0.001582882
slogp_VSA5,0.0015709541
FP_1745,0.0015312985
FP_379,0.0014985765
FP_1991,0.0014913073
FP_775,0.0014794231
FP_1309,0.001438858
FP_294,0.0014331077
FP_289,0.0014209759
AMW,0.0014075276
kappa2,0.0013952891
FP_401,0.0013903369
FP_1114,0.0013843295
FP_1292,0.0013841782
smr_VSA9,0.001379975
FP_1970,0.001374424
FP_978,0.0013742751
FP_140,0.0013742717
FP_392,0.0013651322
FP_1088,0.0013643409
FP_1199,0.0013600116
FP_305,0.0013050529
slogp_VSA6,0.0012960444
MQN35,0.0012924757
FP_162,0.0012916187
NumAtoms,0.0012537115
MQN4,0.0012491008
FP_597,0.001243043
FP_118,0.0012361874
FP_940,0.0012296224
MQN29,0.0012285832
FP_647,0.001226862
FP_823,0.0012145169
FP_1325,0.0012048457
smr_VSA2,0.001196142
FP_502,0.001195303
FP_833,0.0011913726
FP_1573,0.0011906706
FP_601,0.0011725421
FP_352,0.0011720124
FP_751,0.0011677336
FP_1274,0.00116594
FP_1978,0.0011638232
slogp_VSA7,0.0011629404
MQN15,0.001157408
FP_703,0.0011452066
FP_790,0.0011384722
FP_1391,0.0011374452
FP_2,0.001127298
FP_1162,0.0011136185
FP_666,0.0011127054
FP_843,0.0011073963
FP_1011,0.0011009473
FP_1847,0.0010882107
FP_1747,0.0010755645
FP_1923,0.0010540533
FP_1838,0.0010538988
FP_165,0.0010398168
FP_1399,0.0010338748
FP_322,0.0010138473
FP_1366,0.0010123139
NumAromaticCarbocycles,0.0010035658
NumAmideBonds,0.0009939761
FP_932,0.0009818962
NumRotatableBonds,0.0009816109
FP_1066,0.0009765878
FP_1060,0.00097471656
NumStereocenters,0.0009660274
FP_713,0.0009641011
